Name,Index,InnerIndex,Desc,Emotion,Text
t_imjinro,0,,,Neutral,"Face me... Yes, that's good.
Rejoice. You are gazing upon the face of {0}."
t_shori,0,,,Thinking,"{0} is a fragile thing after all.
Much like humans..."
t_tohyo_kurikaeshi,0,,,Smug,We could simply repeat the vote over and over till we are all dead.
t_tohyo_jeno,0,,,Surprised,"{0}.
All we ask of you is to freeze."
t_tohyo_alive,0,,,Neutral,"Inaction may prove to be our best course of action at the moment.
A fool left alone will eventually begin to dance."
t_tohyo_jeno_ok,0,,,Neutral,"So we are to freeze those who may be without sin?
How very human - I like it."
t_tohyo_jeno_ng,0,,,Happy,I object.
t_tohyo_alive_ok,0,,,Neutral,Let us do nothing. I am fine with this.
t_tohyo_alive_ng,0,,,Happy,I object.
t_tohyo_jeno_kettei,0,,,Thinking,"Let it begin, then.
Prepare {0} for cold sleep."
t_tohyo_alive_kettei,0,,,Neutral,"If we are finished here, I shall return to my room.
Gnosia, you may do as you like."
t_tohyo_hitei,0,,,Hurt,Rejected? Hmph...
t_tohyo_dame,0,,,Surprised,"The time allotted to the humans has expired.
Let us return to our rooms."
t_tohyo_dame,1,,,,...
t_co,0,,,,...
t_co,1,,,Neutral,"The {0} is akin a shrine maiden, controlling the ship's nerve center.
For all of your sakes, I shall seek out the Gnosia."
t_co,2,,,Smug,"Humans infected by Gnosia emit a reactive signal.
Even if their body has been frozen...  Hehe, how noble.
As {0}, I shall determine whether or not the signal is present."
t_co,3,,,Neutral,"As {0}, I shall make my own determination...
Who is to be protected, and who is to be forsaken."
t_co,4,,,Neutral,"Look at me. Would you claim that I have been infected by the Gnosia?
I, who have not set foot off of this ship in years?"
t_co,5,,,,dammy
t_co,6,,,,dammy
t_co,7,,,,dammy
t_co,8,,,,dammy
t_co_find,0,,,,dammy
t_co_find,1,,,Happy,"Rejoice. As {0}, I have determined who the Gnosia is.
Hehe, I'm referring to you, of course, {1}."
t_co_find,2,,,Neutral,"We were correct to freeze {1}.
As {0} of this ship, I applaud your decision."
t_co_find,3,,,,dammy
t_co_find,4,,,,dammy
t_co_find,5,,,,dammy
t_co_find,6,,,,dammy
t_co_find,7,,,,dammy
t_co_find,8,,,,dammy
t_co_taiko,0,,,,dammy
t_co_taiko,1,,,Happy,"Are you attempting to usurp the title of {0}?
Hehe, if you want a fight, I'll give you one."
t_co_taiko,2,,,Neutral,"Hehe, {1}. You're trying so hard.
I hereby assert my claim to the title of {0}, and accuse {1} of fraud."
t_co_taiko,3,,,,dammy
t_co_taiko,4,,,Thinking,"Ah, that's right. {1} had also remained aboard the ship.
We can be sure there is no risk of Gnosia infection there."
t_co_taiko,5,,,,dammy
t_co_taiko,6,,,,dammy
t_co_taiko,7,,,,dammy
t_co_taiko,8,,,,dammy
t_co_req,0,,,Annoyed,"{0}, make yourself known.
Fulfill your duties."
t_co_after,0,,,Hurt,"You've got your work cut out for you, {1}..."
t_co_after,1,,,Neutral,"{1}.
The burden of proof is on you.
Prove that you are the ship's true {0}."
t_co_after,2,,,Smug,"{1}.
Maybe it would be wise to freeze them all."
t_uranai_o,0,,,Hurt,I wonder if that was a wasted move...
t_uranai_s,0,,,,"Listen closely. These are the results of my research.
"
t_uranai_b,0,,,,"I feel it's time to reveal the results of my investigation.
"
t_uranai_t,0,,,Neutral,{1} is infected by {0}. To the freezer.
t_uranai_f,0,,,Annoyed,"{1} showed no signs of {0} infection.
Nothing significant whatsoever."
t_uranai_n,0,,,Surprised,"There was nobody worth investigating.
Is everything not clear enough?"
t_reibai_s,0,,,,"I analyzed the brain tissue of those frozen yesterday.
"
t_reibai_s,1,,,,...
t_reibai_t,0,,,Neutral,"Hehe, congratulations.
{1} {3} {0}."
t_reibai_f,0,,,Hurt,"{1} {3} not {0}.
Cold sleep was meaningless."
t_reibai_ft,0,,,Smug,"Among {1}, {2} {4} infected by {0}.
Ensnared in our net, just as expected."
t_reibai_ff,0,,,Neutral,"{1} were all normal humans...
It appears the {0} has hidden themselves well."
t_houkoku_s,0,,,Surprised,My findings were the same...
t_houkoku_w,0,,,Neutral,"So your role is clearly to spread misinformation, I see..."
t_okuyami,0,,,Surprised,"{0} is of no more use to us.
Reorganize the work system to avoid any problems with our flight.
Human or Gnosia, either way, this is necessary - is it not?"
t_okuyami_n,0,,,Smug,"So, Gnosia, it appears as though you failed last night, hm?
Is it a failure from which you can return, I wonder?"
t_okuyami_f,0,,,Happy,"So, two victims... Hehehe.
What a hero the Engineer is, saving the ship from the Bug's destruction."
t_houkoku_req,0,,,Annoyed,Report... Now.
t_houkoku_not,0,,,Neutral,"So, {0}'s breach of trust is now clear...
What an enlightening report, {0}."
t_skill_sayNingen,0,,,Neutral,"Let's play a little game.
Each of you, try declaring your humanity. One at a time."
t_skill_sayNingen,1,,,Surprised,"Yes, I am human. Unfortunately."
t_skill_sayNingen,2,,,Annoyed,"{0}.
I have no intention of playing along with your farce."
t_skill_sayNingen,3,,,Hurt,"Apparently only cowards remain on this ship.
How unfortunate. For all of you."
t_skill_sayNingen,4,,,Neutral,"Good work...
Now we know whom to doubt, do we not?
Those who refused to declare their humanity..."
t_skill_sayNingen,5,,,Smug,"Good work...
Fearing discovery, the savage is clever enough to lie brazenly.
I feel I should commend the Gnosia on their bravery."
t_skill_sayNingen,6,,,Happy,"Hehe, {0}. So, you want to avoid having to make the declaration...
You're either a brave Gnosia, or a coward not worthy of life.
I wonder which it is?"
t_skill_zatsudan,0,,,,...
t_skill_zatsudan,1,,,,...
t_skill_zatsudan,2,,,,...
t_skill_zatsudan,3,,,Happy,I wonder which of us will become tonight's dinner?
t_skill_zatsudan,4,,,Neutral,"I am a miko, a shrine maiden. I have been defiled by none.
However, I know more about fun and pleasure than all of you combined."
t_skill_zatsudan,5,,,Surprised,"Do you know of the cursed pig-people of the Shia-Meng system?
They spend their entire lives counting their own fingers..."
t_skill_zatsudan,6,,,Hurt,"Trying to distract everyone with fun and games?
{0}. You are a filthy being indeed..."
t_skill_roller,0,,,Neutral,"This ship has no more need for the {0}.
Freeze all who claim to be so."
t_skill_roller,1,,,Happy,"A good proposal, {1}.
Let us rid ourselves of this Gnosia."
t_skill_roller,2,,,Annoyed,How stupid. I reject this proposal.
t_skill_roller,3,,,Neutral,"{2} has a point.
This is not the time to act rashly."
t_skill_roller,4,,,Smug,"Hehe, how will you move now?
I look forward to the vote."
t_skill_roller,5,,,Thinking,Then do as you please...
t_skill_roller,6,,,Neutral,"This ship has no more need for the {0}.
Freeze all who claim to be so."
t_skill_doTohyo,0,,,Neutral,"{0}. We should freeze you, and verify {1}'s veracity.
Be thankful you are able to serve a purpose."
t_skill_doTohyo,1,,,Surprised,"As Engineer, I declare.
You must cast your votes for {0}."
t_skill_doTohyo,2,,,Hurt,"{0} is but a sad clown.
Cast your votes, and end this farce."
t_skill_doTohyo,3,,,Smug,"You've made a mistake, {1}.
No report claimed that {0} is Gnosia.
Hehe, how should we punish {1}?"
t_skill_doTohyo,4,,,Neutral,"{1}. I support your proposal.
Do as you see fit."
t_skill_doTohyo,5,,,Surprised,That sounds interesting. Let's try it.
t_skill_doTohyo,6,,,Smug,"Vote for {0}, you say?
Hehe, I don't think it works that way."
t_skill_doTohyo,7,,,Annoyed,I object.
t_skill_dontTohyo,0,,,Neutral,"{0}, I have no intention of freezing you.
There is someone else who should be sacrificed tonight.
You shall continue to live, in shame."
t_skill_dontTohyo,1,,,Hurt,"So let {0} continue to thrive...
Not a bad idea."
t_skill_dontTohyo,2,,,Annoyed,"I object.
{1}. Speak in a way that befits your actual status."
t_skill_dontTohyo,3,,,Happy,"Hehe, {1}. At least you tried."
t_skill_kyoryoku,0,,,Neutral,"Follow me, {0}.
I'll put your life and abilities to good use.
A fortunate servant. This is how you were meant to exist."
t_skill_kyoryoku,1,,,Hurt,"Cooperate with you...?
That may not be bad... I'll agree."
t_skill_kyoryoku,2,,,Happy,"Cooperate with you...?
Hehe, are you serious...?"
t_skill_t_doui,0,,,Neutral,"I support {0}'s statement.
You all should as well."
t_skill_t_hanronKinshi,0,,,Surprised,"Any of those who object to {0}, step forward.
We shall end this here."
t_skill_t_kyakushoku,0,,,,...
t_skill_t_kyakushoku,1,,,,...
t_skill_t_kyakushoku,2,,,,...
t_skill_t_kyakushoku,3,,,,...
t_skill_h_uyamuya,0,,,,...
t_skill_h_hangeki,0,,,Neutral,"I would say the same to you.
{0} - it is you who should freeze."
t_skill_h_dojo,0,,,,...
t_skill_h_help,0,,,Annoyed,{0}.
t_skill_h_help,1,,,Neutral,...
t_skill_h_careful,0,,,,...
t_skill_dogeza,0,,,Surprised,Garbage...
t_skill_dogeza,1,,,,...
t_personal,0,0,,Neutral,"You came all this way.
You might as well make the kill."
t_personal,0,1,,Happy,"Hehe, wasn't that an entertaining farce?
Watching it all fall apart like that..."
t_personal,0,2,,Neutral,"Now, let us kill each other.
No...? Then leave."
t_personal,0,3,,Surprised,"Yes, both you and I are indeed human.
So what?"
t_personal,0,4,,Smug,"Whether you being human is good or bad for this ship...
I don't know, but I'll enjoy finding out."
t_personal,0,5,,Thinking,"Hmph, if I were to actually trust you...
Just where would that get me?"
t_personal,0,6,,Surprised,"If we continue down this path...
You are going to freeze anyway."
t_personal,0,7,,Neutral,"You are somewhat of an interesting specimen.
A sort of curio."
t_personal,0,8,,Annoyed,"Back down.
Know your place."
t_personal,0,9,,Thinking,"I just hope we can eliminate the humans and all like them.
Heh, if that is possible, I guess we should go as well."
t_personal,0,10,,Surprised,"{0}. I have no need for your opinion.
Just know that I do not fear you."
t_personal,0,11,,Thinking,"So, it's over...
This universe shall show you no mercy for your sins."
t_personal,0,12,,Happy,"Hehe, wasn't that an entertaining farce?
Watching it all fall apart like that..."
t_personal,0,13,,Hurt,"{0}...
I was... just thinking."
t_personal,0,14,,Hurt,"What, are you not going to attack me?
Heh, how unfortunate."
t_personal,0,15,,Surprised,Leave.
t_personal,0,16,,Hurt,"Let it begin...
Heh, how many acts shall play out this time?"
t_personal,1,0,,Neutral,
t_personal,1,1,,Neutral,
t_personal,2,0,,Neutral,
t_personal,3,0,,Neutral,
t_personal,4,0,,Neutral,
t_personal,5,0,,Neutral,
t_personal,6,0,,Neutral,
t_personal,7,0,,Neutral,
t_personal,8,0,,Annoyed,"It all ends here.
The Gnosia, and my connection to you."
t_personal,8,1,,Hurt,"If only I could follow you.
Hmph, actually, I wouldn't want that after all."
t_personal,8,2,,Neutral,"Now, be off. To anywhere you please.
Have a good journey..."
t_personal,9,0,,Smug,"We seem to have crushed them.
Heh, how weak they are."
t_personal,10,0,,Happy,"Hehe.
How unfortunate."
t_personal,10,1,,Neutral,"{0}... I meant to destroy you.
Unfortunately, it seems we're out of time."
t_personal,11,0,,Neutral,"{0}, you did well."
t_personal,11,1,,Smug,"Thanks to you, the Gnosia have been destroyed.
Rejoice."
t_personal,12,0,,Thinking,"Either way, the curtain has been drawn.
Now let this end."
t_personal,13,0,,Annoyed,"The humans were as weak as expected.
The curtain has fallen."
t_personal,14,0,,Happy,"Hmph...
What a lovely genocide, wasn't it, {0}?"
t_personal,15,0,,Neutral,"Is your role here at an end...?
Hmph, then go..."
t_personal,16,0,,Neutral,"Was that fun, {0}?
Or was it pointless and unsatisfiyng??"
t_personal,16,1,,Smug,"Heh, hehehe...
Completely unsalvageable. Both you and myself."
t_personal,17,0,,Happy,"It seems as though we've reached a conclusion.
You lose. Hehe, how unfortunate."
t_personal,17,1,,Neutral,"That wasn't bad.
As a parting gift, the least I can do is destroy you myself."
t_personal,18,0,,Thinking,"Ah, so this is the end, then?
How banal."
t_personal,18,1,,Neutral,"With that, I shall now destroy this universe...
But don't feel bad.
Hehe, it's all just so trifling and stupid."
t_personal,19,0,,Smug,"Hmph...
Apparently I was right not to kill you."
t_personal,19,1,,Surprised,"Good work.
I shall remember your contribution to Gnos."
t_temp,0,,,,"Other than Stealth, all abilities are very high.
Extremely dangerous as an enemy, but also quite
cold & distant, making her a worrisome ally
as well."
t_temp,1,,,,...
